WGT,AGE,EDUC,LF,FOODHOME,FOODAWAY,FOODDELV,RENT,INCOME,WAGEINC,INTDIVINC,KGINC,SAVING,LIQ,FIN,ASSET,NFIN,DEBT,NETWORTH,TPAY,PIRTOTAL
1778.5797797,46,13,1,12000,4800,0,0.0,211858.71743,185916.83367,0.0,0.0,10500,20500,20500,506500.0,486000.0,182000,324500.0,2055.0,0.1163983257
1613.7292722,46,13,1,12000,4800,0,0.0,211858.71743,185916.83367,0.0,0.0,10500,20500,20500,506500.0,486000.0,182000,324500.0,1955.0,0.1107341736
6265.2276234,51,9,1,4200,1200,1080,510.0,42155.561122,34589.178357,0.0,0.0,0,1950,1950,11950.0,10000.0,10630,1320.0,245.75,0.0699551832
6259.5187819,51,9,1,4200,1200,1080,510.0,35670.09018,28103.707415,0.0,0.0,0,2950,2950,12950.0,10000.0,3530,9420.0,245.75,0.0826743074
6296.7174038,51,9,1,4200,1200,1080,510.0,45398.296593,37831.913828,0.0,0.0,0,1550,1550,11550.0,10000.0,9430,2120.0,255.75,0.0676016554
6276.2111101,51,9,1,4200,1200,1080,500.0,51883.767535,43236.472946,0.0,0.0,0,2050,4750,14750.0,10000.0,9530,5220.0,245.75,0.0568385863
6272.7711906,51,9,1,4200,1200,1080,510.0,43236.472946,35670.09018,0.0,0.0,0,2650,2650,12650.0,10000.0,10630,2020.0,255.75,0.0709817381
3681.5592967,77,12,0,1800,0,0,1100.0,18915.956914,0.0,3675.1002004,0.0,0,13000,204000,217000.0,13000.0,0,217000.0,0.0,0.0
3487.0960233,77,12,0,1800,0,0,1100.0,18915.956914,0.0,2378.006012,0.0,0,240,140240,153240.0,13000.0,0,153240.0,0.0,0.0
2111.2501745,77,12,0,1800,0,0,1100.0,21942.51002,0.0,2918.4619238,0.0,0,11000,93000,106000.0,13000.0,0,106000.0,0.0,0.0
2143.1473853,77,12,0,1800,0,0,1100.0,23239.604208,0.0,1405.1853707,0.0,0,1000,82000,95000.0,13000.0,0,95000.0,0.0,0.0
2194.2319965,77,12,0,1800,0,0,1100.0,32643.537074,0.0,1405.1853707,0.0,0,2200,53200,66200.0,13000.0,0,66200.0,0.0,0.0
4004.2661924,57,8,1,3600,400,0,0.0,58369.238477,48641.032064,0.0,0.0,0,510,510,545510.0,545000.0,123320,422190.0,2214.35,0.4552432187
6010.7193961,57,8,1,3600,400,0,0.0,59450.150301,48641.032064,0.0,0.0,0,520,520,534520.0,534000.0,170320,364200.0,2224.35,0.4489845672
6214.2784759,57,8,1,3600,400,0,0.0,59450.150301,48641.032064,0.0,0.0,0,501,501,526301.0,525800.0,115520,410781.0,2114.35,0.4267810909
6054.5048227,57,8,1,3600,400,0,0.0,59450.150301,48641.032064,0.0,0.0,0,501,501,524101.0,523600.0,104120,419981.0,2224.35,0.4489845672
6133.2812608,57,8,1,3600,400,0,0.0,59450.150301,48641.032064,0.0,0.0,0,501,501,524201.0,523700.0,160920,363281.0,2214.35,0.4469660693
18445.548496,30,13,1,13520,600,0,1700.0,113495.74148,113495.74148,237.8006012,0.0,1980,36020,43620,79620.0,36000.0,243600,-163980.0,772.5,0.0816770733
17881.634838,30,13,1,13000,720,0,1700.0,116738.47695,116738.47695,237.8006012,0.0,1770,36110,43710,77710.0,34000.0,244300,-166590.0,777.5,0.0799222351
18238.611944,30,13,1,13000,600,0,1800.0,119981.21242,119981.21242,237.8006012,0.0,1930,33600,42770,79770.0,37000.0,244300,-164530.0,862.5,0.0862635057
18054.486859,30,13,1,13000,720,0,1700.0,108091.18236,108091.18236,237.8006012,0.0,1570,33940,41610,75610.0,34000.0,243800,-168190.0,805.0,0.0893689919
17999.906087,30,13,1,13000,600,0,1500.0,119981.21242,119981.21242,237.8006012,0.0,1880,30960,50130,83130.0,33000.0,243900,-160770.0,857.5,0.0857634274
3426.3787547,56,8,1,5200,2600,0,0.0,55126.503006,52964.679359,0.0,0.0,0,3290,3290,315090.0,311800.0,22300,292790.0,757.5,0.1648934633
3162.4438975,56,8,1,5200,2600,0,0.0,51883.767535,47560.12024,0.0,0.0,0,2690,2690,313490.0,310800.0,22300,291190.0,767.5,0.1775121669
3266.9243166,56,10,1,5200,2600,0,0.0,46479.208417,39993.737475,0.0,0.0,0,3360,3360,312390.0,309030.0,22300,290090.0,757.5,0.1955713169
3234.7280155,56,8,1,5200,2600,0,0.0,54045.591182,48641.032064,0.0,0.0,0,3260,3260,315760.0,312500.0,22300,293460.0,767.5,0.1704116802
3187.5712848,56,8,1,5200,2600,0,0.0,33508.266533,29184.619238,0.0,0.0,0,3380,3380,312200.0,308820.0,22300,289900.0,757.5,0.2712763428
1776.9519045,70,4,0,6000,0,0,0.0,22699.148297,0.0,0.0,0.0,950,2650,2650,23350.0,20700.0,600,22750.0,100.0,0.0528654196
1765.4366743,70,4,0,6000,0,0,0.0,21618.236473,0.0,0.0,0.0,950,2650,2650,29750.0,27100.0,600,29150.0,100.0,0.0555086906
1798.7379019,70,4,0,6000,0,0,0.0,22699.148297,0.0,0.0,0.0,950,2650,2650,27850.0,25200.0,600,27250.0,100.0,0.0528654196
1761.6116905,70,4,0,6000,0,0,0.0,22699.148297,0.0,0.0,0.0,950,2650,2650,27950.0,25300.0,600,27350.0,100.0,0.0528654196
1792.614278,70,4,0,6000,0,0,0.0,21618.236473,0.0,0.0,0.0,950,2650,2650,25850.0,23200.0,600,25250.0,100.0,0.0555086906
8217.2138682,57,8,0,2400,2400,0,0.0,81068.386774,64854.709419,0.0,0.0,0,58100,428100,1051200.0,623100.0,0,1051200.0,0.0,0.0
8247.7439418,57,8,0,2400,2400,0,0.0,81068.386774,64854.709419,0.0,0.0,0,58100,428100,950200.0,522100.0,0,950200.0,0.0,0.0
8878.0602006,57,8,0,2400,2400,0,0.0,81068.386774,64854.709419,0.0,0.0,0,58100,428100,1030100.0,602000.0,0,1030100.0,0.0,0.0
8468.1683072,57,8,0,2400,2400,0,0.0,81068.386774,64854.709419,0.0,0.0,0,58100,428100,989100.0,561000.0,0,989100.0,0.0,0.0
9015.0932253,57,8,0,2400,2400,0,0.0,81068.386774,64854.709419,0.0,0.0,0,58100,428100,1063200.0,635100.0,0,1063200.0,0.0,0.0
22814.844165,32,12,1,0,5200,5200,1900.0,49721.943888,43236.472946,0.0,0.0,3000,13000,13000,44000.0,31000.0,0,44000.0,0.0,0.0
